Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio
12,2014,,Vidal Nuno III,26,0,7,0,3.76,14,14,0,0,0,0,83.2,71,37,35,10,20,0,69,4,0,1,340,100,3.9,1.088,7.6,1.1,2.2,7.4,3.45
13,2014,,Mike Bolsinger,26,1,6,0.143,5.5,10,9,0,0,0,0,52.1,66,36,32,7,17,1,48,0,1,0,238,68,4.01,1.586,11.4,1.2,2.9,8.3,2.82
14,2014,,Eury De La Rosa,24,2,0,1,2.95,25,0,12,0,0,0,36.2,37,12,12,2,14,4,32,3,1,1,158,128,3.49,1.391,9.1,0.5,3.4,7.9,2.29
15,2014,,Matt Stites,24,0,0,0,5.73,37,0,11,0,0,0,33,33,23,21,6,16,1,26,1,0,2,148,66,5.47,1.485,9,1.6,4.4,7.1,1.63
16,2014,,Will Harris,29,0,3,0,4.34,29,0,8,0,0,0,29,27,14,14,3,9,2,35,2,0,1,120,87,3.2,1.241,8.4,0.9,2.8,10.9,3.89
17,2014,,Joe Thatcher,32,1,0,1,2.63,37,0,7,0,0,0,24,23,10,7,3,3,1,25,2,0,1,100,145,3.3,1.083,8.6,1.1,1.1,9.4,8.33
18,2014,,Zeke Spruill,24,1,1,0.5,3.57,6,1,1,0,0,0,22.2,27,11,9,0,4,0,14,1,0,0,99,106,2.56,1.368,10.7,0,1.6,5.6,3.5
19,2014,,Andrew Chafin,24,0,1,0,3.86,3,3,0,0,0,0,14,13,6,6,0,8,1,10,1,0,2,60,100,3.63,1.5,8.4,0,5.1,6.4,1.25
20,2014,,J.J. Putz,37,1,1,0.5,6.59,18,0,8,0,0,0,13.2,17,10,10,1,6,1,14,1,0,2,62,58,3.57,1.683,11.2,0.7,4,9.2,2.33
21,2014,,Bo Schultz,28,0,1,0,7.88,4,0,3,0,0,0,8,13,7,7,1,1,1,5,0,0,0,36,50,3.88,1.75,14.6,1.1,1.1,5.6,5
22,2014,,Ryan Rowland-Smith,31,0,0,0,4.91,6,0,3,0,0,0,7.1,7,5,4,0,4,1,9,0,0,1,33,80,2.31,1.5,8.6,0,4.9,11,2.25
23,2014,,Daniel Hudson,27,0,1,0,13.5,3,0,0,0,0,0,2.2,4,4,4,0,0,0,2,0,0,0,13,32,1.63,1.5,13.5,0,0,6.8,0
24,2014,,Bradin Hagens,25,0,1,0,3.38,2,0,2,0,0,0,2.2,4,1,1,0,3,1,2,0,0,0,14,128,5.01,2.625,13.5,0,10.1,6.8,0.67
25,2014,,Joe Paterson,28,0,0,0,33.75,3,0,1,0,0,0,1.1,4,5,5,0,1,0,0,1,0,0,10,14,7.63,3.75,27,0,6.8,0,0
1,2013,SP,Patrick Corbin,23,14,8,0.636,3.41,32,32,0,3,0,0,208.1,189,81,79,19,54,1,178,9,0,13,860,113,3.43,1.166,8.2,0.8,2.3,7.7,3.3
2,2013,SP,Wade Miley,26,10,10,0.5,3.55,33,33,0,0,0,0,202.2,201,88,80,21,66,4,147,4,0,13,847,109,3.98,1.317,8.9,0.9,2.9,6.5,2.23
3,2013,SP,Trevor Cahill,25,8,10,0.444,3.99,26,25,1,0,0,0,146.2,143,70,65,13,65,2,102,6,0,17,636,97,4.26,1.418,8.8,0.8,4,6.3,1.57
4,2013,SP,Brandon McCarthy,29,5,11,0.313,4.53,22,22,0,2,1,0,135,161,71,68,13,21,3,76,5,1,1,577,85,3.75,1.348,10.7,0.9,1.4,5.1,3.62
5,2013,SP,Ian Kennedy,28,3,8,0.273,5.23,21,21,0,0,0,0,124,128,79,72,18,48,1,108,10,0,9,549,74,4.6,1.419,9.3,1.3,3.5,7.8,2.25
6,2013,SP,Randall Delgado,23,5,7,0.417,4.26,20,19,0,1,1,0,116.1,116,59,55,24,23,2,79,1,1,3,473,91,4.99,1.195,9,1.9,1.8,6.1,3.43
7,2013,CL,Heath Bell,35,5,2,0.714,4.11,69,0,32,0,0,15,65.2,74,30,30,12,16,1,72,3,0,4,287,94,4.1,1.371,10.1,1.6,2.2,9.9,4.5
8,2013,RP,Brad Ziegler,33,8,1,0.889,2.22,78,0,33,0,0,13,73,61,20,18,3,22,6,44,3,0,0,297,174,3.4,1.137,7.5,0.4,2.7,5.4,2
9,2013,RP,David Hernandez,28,5,6,0.455,4.48,62,0,12,0,0,2,62.1,50,33,31,10,24,4,66,4,0,6,263,87,4.36,1.187,7.2,1.4,3.5,9.5,2.75
10,2013,RP,Will Harris,28,4,1,0.8,2.91,61,0,11,0,0,0,52.2,50,17,17,3,15,1,53,2,0,4,217,134,2.74,1.234,8.5,0.5,2.6,9.1,3.53
11,2013,RP,Tony Sipp,29,3,2,0.6,4.78,56,0,11,0,0,0,37.2,35,22,20,6,22,2,42,3,1,3,175,81,4.88,1.513,8.4,1.4,5.3,10,1.91
12,2013,,Josh Collmenter,27,5,5,0.5,3.13,49,0,10,0,0,0,92,79,34,32,8,33,8,85,2,0,3,384,124,3.47,1.217,7.7,0.8,3.2,8.3,2.58
13,2013,,Tyler Skaggs,21,2,3,0.4,5.12,7,7,0,0,0,0,38.2,38,23,22,7,15,2,36,2,0,2,170,76,4.86,1.371,8.8,1.6,3.5,8.4,2.4
14,2013,,J.J. Putz,36,3,1,0.75,2.36,40,0,16,0,0,6,34.1,26,9,9,4,17,1,38,0,0,3,140,165,3.83,1.252,6.8,1,4.5,10,2.24
15,2013,,Matt Reynolds,28,0,2,0,1.98,30,0,9,0,0,2,27.1,25,7,6,2,5,1,23,1,0,0,111,198,2.97,1.098,8.2,0.7,1.6,7.6,4.6
16,2013,,Chaz Roe,26,1,0,1,4.03,21,0,4,0,0,0,22.1,18,10,10,3,13,3,24,0,0,1,95,97,4.39,1.388,7.3,1.2,5.2,9.7,1.85
17,2013,,Eury De La Rosa,23,0,1,0,7.36,19,0,6,0,0,0,14.2,13,13,12,5,5,0,16,0,0,1,62,54,6.32,1.227,8,3.1,3.1,9.8,3.2
18,2013,,Zeke Spruill,23,0,2,0,5.56,6,2,1,0,0,0,11.1,17,11,7,3,5,0,9,1,0,0,55,72,6.49,1.941,13.5,2.4,4,7.1,1.8
19,2013,,Joe Thatcher,31,0,1,0,6.75,22,0,3,0,0,0,9.1,12,7,7,1,6,0,7,0,0,1,43,59,4.87,1.929,11.6,1,5.8,6.8,1.17
20,2013,,Matt Langwell,27,0,0,0,5.19,8,0,3,0,0,0,8.2,8,5,5,1,5,0,6,1,0,0,39,78,5.24,1.5,8.3,1,5.2,6.2,1.2
21,2013,,Charles Brewer,25,0,0,0,3,4,0,2,0,0,0,6,8,2,2,0,2,0,5,0,0,0,27,137,2.38,1.667,12,0,3,7.5,2.5
22,2013,,David Holmberg,21,0,0,0,7.36,1,1,0,0,0,0,3.2,6,3,3,0,3,0,0,0,0,0,20,58,5.5,2.455,14.7,0,7.4,0,0
23,2013,,Joe Paterson,27,0,0,0,3.86,2,0,2,0,0,0,2.1,2,1,1,0,0,0,2,3,0,0,11,117,5.19,0.857,7.7,0,0,7.7,0
1,2012,SP,Ian Kennedy,27,15,12,0.556,4.02,33,33,0,1,0,0,208.1,216,101,93,28,55,4,187,14,4,5,899,101,4.04,1.301,9.3,1.2,2.4,8.1,3.4
2,2012,SP,Trevor Cahill,24,13,12,0.52,3.78,32,32,0,2,1,0,200,184,93,84,16,74,0,156,11,2,10,839,108,3.85,1.29,8.3,0.7,3.3,7,2.11
3,2012,SP,Wade Miley,25,16,11,0.593,3.33,32,29,0,0,0,0,194.2,193,79,72,14,37,0,144,2,1,6,807,122,3.15,1.182,8.9,0.6,1.7,6.7,3.89
4,2012,SP,Joe Saunders,31,6,10,0.375,4.22,21,21,0,1,1,0,130,146,68,61,17,31,1,89,2,0,2,561,97,4.19,1.362,10.1,1.2,2.1,6.2,2.87
5,2012,SP,Patrick Corbin,22,6,8,0.429,4.54,22,17,3,0,0,1,107,117,56,54,14,25,2,86,4,0,1,454,90,4,1.327,9.8,1.2,2.1,7.2,3.44
6,2012,CL,J.J. Putz,35,1,5,0.167,2.82,57,0,52,0,0,32,54.1,45,18,17,4,11,1,65,2,0,3,218,146,2.38,1.031,7.5,0.7,1.8,10.8,5.91
7,2012,RP,Brad Ziegler,32,6,1,0.857,2.49,77,0,15,0,0,0,68.2,54,21,19,2,21,2,42,1,0,1,263,164,3.21,1.092,7.1,0.3,2.8,5.5,2
8,2012,RP,David Hernandez,27,2,3,0.4,2.5,72,0,21,0,0,4,68.1,48,21,19,4,22,1,98,3,1,4,278,164,2.08,1.024,6.3,0.5,2.9,12.9,4.45
9,2012,RP,Bryan Shaw,24,1,6,0.143,3.49,64,0,19,0,0,2,59.1,60,29,23,4,24,3,41,2,1,4,252,117,3.9,1.416,9.1,0.6,3.6,6.2,1.71
10,2012,RP,Mike Zagurski,29,0,0,0,5.54,45,0,13,0,0,0,37.1,37,24,23,5,19,0,34,1,0,5,163,74,4.62,1.5,8.9,1.2,4.6,8.2,1.79
11,2012,,Josh Collmenter,26,5,3,0.625,3.69,28,11,7,0,0,0,90.1,92,39,37,13,22,2,80,0,0,1,375,111,3.92,1.262,9.2,1.3,2.2,8,3.64
12,2012,,Daniel Hudson,25,3,2,0.6,7.35,9,9,0,0,0,0,45.1,62,37,37,9,12,0,37,0,0,2,202,56,4.84,1.632,12.3,1.8,2.4,7.3,3.08
13,2012,,Craig Breslow,31,2,0,1,2.7,40,0,12,0,0,0,43.1,38,15,13,5,13,0,42,1,0,1,180,152,3.62,1.177,7.9,1,2.7,8.7,3.23
14,2012,,Brad Bergesen,26,2,1,0.667,3.64,19,0,5,0,0,0,29.2,29,14,12,2,7,0,18,1,0,2,121,113,3.57,1.213,8.8,0.6,2.1,5.5,2.57
15,2012,,Tyler Skaggs,20,1,3,0.25,5.83,6,6,0,0,0,0,29.1,30,20,19,6,13,0,21,2,0,1,133,71,5.86,1.466,9.2,1.8,4,6.4,1.62
16,2012,,Matt Albers,29,1,1,0.5,2.57,23,0,4,0,0,0,21,16,7,6,3,7,0,19,1,0,1,84,161,4.28,1.095,6.9,1.3,3,8.1,2.71
17,2012,,Trevor Bauer,21,1,2,0.333,6.06,4,4,0,0,0,0,16.1,14,13,11,2,13,0,17,1,0,2,77,69,5.18,1.653,7.7,1.1,7.2,9.4,1.31
18,2012,,Takashi Saito,42,0,0,0,6.75,16,0,2,0,0,0,12,17,14,9,4,5,1,11,1,0,1,60,62,7.09,1.833,12.8,3,3.8,8.3,2.2
19,2012,,Matt Lindstrom,32,0,0,0,2.53,12,0,3,0,0,0,10.2,10,3,3,0,2,0,10,1,0,0,45,166,2.06,1.125,8.4,0,1.7,8.4,5
20,2012,,Jonathan Albaladejo,29,0,0,0,9,3,0,0,0,0,0,3,5,3,3,1,0,0,2,1,1,0,15,51,7.09,1.667,15,3,0,6,0
21,2012,,Joe Paterson,26,0,0,0,37.13,6,0,0,0,0,0,2.2,15,11,11,2,3,0,0,0,0,0,26,13,16.22,6.75,50.6,6.8,10.1,0,0
22,2012,,Sam Demel,26,0,1,0,9,1,0,1,0,0,0,1,2,1,1,0,1,1,0,0,0,0,6,62,6.09,3,18,0,9,0,0
23,2012,,Joe Martinez,29,0,0,0,9,1,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,5,62,1.09,2,18,0,0,9,0
1,2011,SP,Daniel Hudson,24,16,12,0.571,3.49,33,33,0,3,0,0,222,217,98,86,17,50,1,169,8,1,4,921,113,3.28,1.203,8.8,0.7,2,6.9,3.38
2,2011,SP,Ian Kennedy,26,21,4,0.84,2.88,33,33,0,1,1,0,222,186,73,71,19,55,0,198,9,1,11,900,137,3.22,1.086,7.5,0.8,2.2,8,3.6
3,2011,SP,Joe Saunders,30,12,13,0.48,3.69,33,33,0,1,0,0,212,210,94,87,29,67,4,108,3,0,3,874,107,4.78,1.307,8.9,1.2,2.8,4.6,1.61
4,2011,SP,Josh Collmenter,25,10,10,0.5,3.38,31,24,3,0,0,0,154.1,137,61,58,17,28,2,100,5,1,1,621,117,3.8,1.069,8,1,1.6,5.8,3.57
5,2011,CL,J.J. Putz,34,2,2,0.5,2.17,60,0,52,0,0,45,58,41,15,14,4,12,0,61,2,0,2,229,182,2.54,0.914,6.4,0.6,1.9,9.5,5.08
6,2011,RP,David Hernandez,26,5,3,0.625,3.38,74,0,28,0,0,11,69.1,49,27,26,4,30,1,77,2,1,7,291,117,2.94,1.139,6.4,0.5,3.9,10,2.57
7,2011,RP,Micah Owings,28,8,0,1,3.57,33,4,2,0,0,0,63,56,27,25,8,23,0,44,2,0,3,263,111,4.47,1.254,8,1.1,3.3,6.3,1.91
8,2011,RP,Joe Paterson,25,0,3,0,2.91,62,0,17,0,0,1,34,28,11,11,1,15,0,28,4,0,1,150,137,3.44,1.265,7.4,0.3,4,7.4,1.87
9,2011,RP,Sam Demel,25,2,2,0.5,4.21,34,0,7,0,0,0,25.2,31,13,12,4,13,1,15,2,0,0,117,95,5.64,1.714,10.9,1.4,4.6,5.3,1.15
10,2011,,Zach Duke,28,3,4,0.429,4.93,21,9,5,0,0,1,76.2,101,42,42,6,19,0,32,1,0,1,338,80,3.99,1.565,11.9,0.7,2.2,3.8,1.68
11,2011,,Armando Galarraga,29,3,4,0.429,5.91,8,8,0,0,0,0,42.2,47,36,28,13,22,2,28,1,1,1,198,67,7.29,1.617,9.9,2.7,4.6,5.9,1.27
12,2011,,Wade Miley,24,4,2,0.667,4.5,8,7,0,0,0,0,40,48,20,20,6,18,0,25,0,0,1,180,88,5.08,1.65,10.8,1.4,4.1,5.6,1.39
13,2011,,Barry Enright,25,1,4,0.2,7.41,7,7,0,0,0,0,37.2,50,31,31,11,15,1,21,1,0,2,175,54,6.98,1.726,11.9,2.6,3.6,5,1.4
14,2011,,Aaron Heilman,32,4,1,0.8,6.88,32,0,10,0,0,0,35.1,48,28,27,8,11,0,33,1,0,0,164,58,5.12,1.67,12.2,2,2.8,8.4,3
15,2011,,Esmerling Vasquez,27,1,1,0.5,4.15,31,0,5,0,0,0,30.1,27,16,14,2,13,2,20,4,0,0,132,96,4.24,1.319,8,0.6,3.9,5.9,1.54
16,2011,,Bryan Shaw,23,1,0,1,2.54,33,0,8,0,0,0,28.1,30,9,8,2,8,1,24,4,0,1,122,157,3.52,1.341,9.5,0.6,2.5,7.6,3
17,2011,,Brad Ziegler,31,0,0,0,1.74,23,0,4,0,0,0,20.2,15,7,4,0,6,0,15,0,0,0,79,230,2.44,1.016,6.5,0,2.6,6.5,2.5
18,2011,,J.C. Gutiérrez,27,0,0,0,5.4,20,0,3,0,0,0,18.1,22,16,11,3,9,0,23,1,0,0,90,74,4.28,1.691,10.8,1.5,4.4,11.3,2.56
19,2011,,Alberto Castillo,35,1,0,1,2.31,17,0,4,0,0,0,11.2,10,3,3,0,7,0,6,1,0,0,50,176,4.05,1.457,7.7,0,5.4,4.6,0.86
20,2011,,Jason Marquis,32,0,1,0,9.53,3,3,0,0,0,0,11.1,22,16,12,3,4,0,5,1,0,0,63,43,6.91,2.294,17.5,2.4,3.2,4,1.25
21,2011,,Ryan Cook,24,0,1,0,7.04,12,0,5,0,0,0,7.2,11,6,6,0,8,0,7,0,1,1,41,59,4.33,2.478,12.9,0,9.4,8.2,0.88
22,2011,,Kam Mickolio,27,0,0,0,6.75,6,0,0,0,0,0,6.2,10,5,5,0,3,0,7,0,0,0,32,62,2.28,1.95,13.5,0,4.1,9.5,2.33
23,2011,,Yhency Brazobán,31,0,0,0,6,6,0,1,0,0,0,6,8,4,4,1,4,1,8,1,1,0,31,70,5.03,2,12,1.5,6,12,2
24,2011,,Jarrod Parker,22,0,0,0,0,1,1,0,0,0,0,5.2,4,0,0,0,1,0,1,0,0,0,22,0,3.2,0.882,6.4,0,1.6,1.6,1
25,2011,,Zach Kroenke,27,0,1,0,9,4,0,3,0,0,0,4,6,4,4,1,1,0,3,0,0,0,19,48,5.53,1.75,13.5,2.3,2.3,6.8,3
1,2010,SP,Rodrigo Lopez,34,7,16,0.304,5,33,33,0,0,0,0,200,227,126,111,37,56,1,116,3,0,2,874,85,5.21,1.415,10.2,1.7,2.5,5.2,2.07
2,2010,SP,Ian Kennedy,25,9,10,0.474,3.8,32,32,0,0,0,0,194,163,87,82,26,70,2,168,10,0,16,810,111,4.33,1.201,7.6,1.2,3.2,7.8,2.4
3,2010,SP,Dan Haren,29,7,8,0.467,4.6,21,21,0,1,0,0,141,161,79,72,23,29,4,141,3,1,8,607,92,3.88,1.348,10.3,1.5,1.9,9,4.86
4,2010,SP,Edwin Jackson,26,6,10,0.375,5.16,21,21,0,1,1,0,134.1,141,80,77,13,60,2,104,5,0,13,587,82,4.24,1.496,9.4,0.9,4,7,1.73
5,2010,SP,Barry Enright,24,6,7,0.462,3.91,17,17,0,0,0,0,99,97,43,43,20,29,0,49,1,0,0,410,109,5.62,1.273,8.8,1.8,2.6,4.5,1.69
6,2010,SP,Joe Saunders,29,3,7,0.3,4.25,13,13,0,1,0,0,82.2,97,50,39,11,19,0,50,4,0,3,358,100,4.43,1.403,10.6,1.2,2.1,5.4,2.63
7,2010,CL,J.C. Gutiérrez,26,0,6,0,5.08,58,0,35,0,0,15,56.2,55,33,32,13,23,5,47,4,0,1,247,84,5.83,1.376,8.7,2.1,3.7,7.5,2.04
8,2010,RP,Aaron Heilman,31,5,8,0.385,4.5,70,0,26,0,0,6,72,73,37,36,9,26,4,55,5,0,8,316,94,4.47,1.375,9.1,1.1,3.3,6.9,2.12
9,2010,RP,Blaine Boyer,28,3,2,0.6,4.26,54,0,11,0,0,0,57,59,32,27,3,29,1,29,1,0,2,251,100,4.32,1.544,9.3,0.5,4.6,4.6,1
10,2010,RP,Esmerling Vasquez,26,1,6,0.143,5.2,57,0,16,0,0,0,53.2,46,32,31,6,38,3,55,6,1,3,240,82,4.94,1.565,7.7,1,6.4,9.2,1.45
11,2010,RP,Chad Qualls,31,1,4,0.2,8.29,43,0,28,0,0,12,38,61,41,35,5,15,4,34,1,0,3,190,51,4.26,2,14.4,1.2,3.6,8.1,2.27
12,2010,,Daniel Hudson,23,7,1,0.875,1.69,11,11,0,0,0,0,79.2,51,15,15,7,16,1,70,4,0,3,301,251,3.22,0.841,5.8,0.8,1.8,7.9,4.38
13,2010,,Sam Demel,24,2,1,0.667,5.35,37,0,10,0,0,2,37,42,27,22,5,12,2,33,1,0,5,165,80,4.11,1.459,10.2,1.2,2.9,8,2.75
14,2010,,D.J. Carrasco,33,1,0,1,3.18,18,0,2,0,0,0,22.2,18,15,8,1,12,2,20,1,0,2,98,135,3.61,1.324,7.1,0.4,4.8,7.9,1.67
15,2010,,Dontrelle Willis,28,1,1,0.5,6.85,6,5,0,0,0,0,22.1,24,17,17,3,27,0,14,3,2,4,114,63,7.6,2.284,9.7,1.2,10.9,5.6,0.52
16,2010,,Carlos Rosa,25,0,2,0,4.5,22,0,9,0,0,0,20,20,10,10,1,12,2,9,0,0,0,89,96,4.63,1.6,9,0.5,5.4,4.1,0.75
17,2010,,Jordan Norberto,23,0,2,0,5.85,33,0,5,0,0,0,20,16,13,13,3,22,1,15,0,0,2,94,74,6.83,1.9,7.2,1.4,9.9,6.8,0.68
18,2010,,César Valdez,25,1,2,0.333,7.65,9,2,3,0,0,0,20,29,19,17,2,10,2,13,1,0,3,97,56,4.73,1.95,13.1,0.9,4.5,5.9,1.3
19,2010,,Leo Rosales,29,2,0,1,7.16,16,0,3,0,0,0,16.1,25,13,13,2,9,0,12,0,0,1,80,60,4.85,2.082,13.8,1.1,5,6.6,1.33
20,2010,,Bob Howry,36,1,0,1,10.67,14,0,4,0,0,0,14.1,18,17,17,6,6,1,6,0,0,1,67,41,8.94,1.674,11.3,3.8,3.8,3.8,1
21,2010,,Kris Benson,35,1,1,0.5,5.14,3,3,0,0,0,0,14,18,9,8,2,6,0,8,1,0,1,67,84,5.29,1.714,11.6,1.3,3.9,5.1,1.33
22,2010,,Billy Buckner,26,0,3,0,11.08,3,3,0,0,0,0,13,26,17,16,4,5,0,11,2,0,1,72,39,7,2.385,18,2.8,3.5,7.6,2.2
23,2010,,Zach Kroenke,26,1,0,1,6.75,3,1,0,0,0,0,6.2,9,5,5,2,4,0,2,0,0,0,32,66,8.18,1.95,12.2,2.7,5.4,2.7,0.5
24,2010,,Mike Hampton,37,0,0,0,0,10,0,3,0,0,0,4.1,3,0,0,0,1,1,3,0,0,0,16,0,2.39,0.923,6.2,0,2.1,6.2,3
25,2010,,Daniel Stange,24,0,0,0,13.5,4,0,1,0,0,0,4,4,6,6,1,6,0,2,0,0,0,22,34,9.83,2.5,9,2.3,13.5,4.5,0.33
26,2010,,Saul Rivera,32,0,0,0,22.09,4,0,1,0,0,0,3.2,11,9,9,2,3,0,1,0,0,0,25,21,12.08,3.818,27,4.9,7.4,2.5,0.33
27,2010,,Kevin Mulvey,25,0,0,0,6,2,0,1,0,0,0,3,5,2,2,2,2,0,1,1,0,0,17,79,14.08,2.333,15,6,6,3,0.5
28,2010,,Rafael Rodriguez,25,0,0,0,6.75,2,0,1,0,0,0,2.2,4,2,2,1,1,0,2,1,0,0,14,71,8.7,1.875,13.5,3.4,3.4,6.8,2
1,2009,SP,Dan Haren,28,14,10,0.583,3.14,33,33,0,3,1,0,229.1,192,83,80,27,38,2,223,4,0,13,909,142,3.23,1.003,7.5,1.1,1.5,8.8,5.87
2,2009,SP,Doug Davis,33,9,14,0.391,4.12,34,34,0,0,0,0,203.1,203,101,93,25,103,1,146,4,1,12,889,108,4.84,1.505,9,1.1,4.6,6.5,1.42
3,2009,SP,Max Scherzer,24,9,11,0.45,4.12,30,30,0,0,0,0,170.1,166,94,78,20,63,1,174,10,1,5,741,108,3.87,1.344,8.8,1.1,3.3,9.2,2.76
4,2009,SP,Jon Garland,29,8,11,0.421,4.29,27,27,0,1,0,0,167.2,188,90,80,19,52,5,83,6,0,5,728,104,4.62,1.431,10.1,1,2.8,4.5,1.6
5,2009,SP,Yusmeiro Petit,24,3,10,0.231,5.82,23,17,2,0,0,0,89.2,102,62,58,19,34,1,74,0,0,3,407,77,5.34,1.517,10.2,1.9,3.4,7.4,2.18
6,2009,SP,Billy Buckner,25,4,6,0.4,6.4,16,13,0,0,0,0,77.1,94,57,55,12,29,0,64,3,0,6,342,70,4.7,1.591,10.9,1.4,3.4,7.4,2.21
7,2009,CL,Chad Qualls,30,2,2,0.5,3.63,51,0,44,0,0,24,52,53,23,21,5,7,2,45,2,0,2,217,123,3.14,1.154,9.2,0.9,1.2,7.8,6.43
8,2009,RP,J.C. Gutiérrez,25,4,3,0.571,4.06,65,0,21,0,0,9,71,67,33,32,2,30,5,66,3,0,5,307,110,3,1.366,8.5,0.3,3.8,8.4,2.2
9,2009,RP,Jon Rauch,30,2,2,0.5,4.14,58,0,13,0,0,2,54.1,57,27,25,5,17,0,35,1,0,6,235,108,4,1.362,9.4,0.8,2.8,5.8,2.06
10,2009,RP,Esmerling Vasquez,25,3,3,0.5,4.42,53,0,10,0,0,0,53,52,27,26,4,29,2,45,3,0,4,238,101,4.19,1.528,8.8,0.7,4.9,7.6,1.55
11,2009,RP,Clay Zavada,25,3,3,0.5,3.35,49,0,9,0,0,0,51,45,22,19,5,24,2,52,3,0,1,221,134,3.92,1.353,7.9,0.9,4.2,9.2,2.17
12,2009,,Leo Rosales,28,2,1,0.667,4.76,33,0,8,0,0,0,45.1,40,24,24,5,12,2,31,0,0,3,186,94,3.96,1.147,7.9,1,2.4,6.2,2.58
13,2009,,Blaine Boyer,27,0,1,0,2.68,30,0,16,0,0,0,37,39,20,11,0,12,0,18,3,0,2,160,168,3.34,1.378,9.5,0,2.9,4.4,1.5
14,2009,,Tony Pena,27,5,3,0.625,4.24,37,0,13,0,0,1,34,41,20,16,3,11,0,26,1,0,2,153,106,3.77,1.529,10.9,0.8,2.9,6.9,2.36
15,2009,,Scott Schoeneweis,35,1,2,0.333,7.13,45,0,9,0,0,0,24,29,20,19,6,13,1,14,2,0,0,117,63,7.06,1.75,10.9,2.3,4.9,5.3,1.08
16,2009,,Kevin Mulvey,24,0,3,0,7.04,6,4,0,0,0,0,23,23,18,18,5,12,0,18,2,0,0,104,64,6.18,1.522,9,2,4.7,7,1.5
17,2009,,Daniel Schlereth,23,1,4,0.2,5.89,21,0,4,0,0,0,18.1,15,13,12,1,15,1,22,1,0,4,86,77,4.02,1.636,7.4,0.5,7.4,10.8,1.47
18,2009,,Bryan Augenstein,22,0,1,0,7.94,7,2,2,0,0,0,17,23,16,15,2,6,2,6,2,0,0,81,57,5.33,1.706,12.2,1.1,3.2,3.2,1
19,2009,,Daniel Cabrera,28,0,1,0,6.55,6,1,4,0,0,0,11,11,8,8,0,7,0,7,2,0,1,51,70,4.28,1.636,9,0,5.7,5.7,1
20,2009,,Doug Slaten,29,0,0,0,7.11,11,0,1,0,0,0,6.1,10,5,5,1,1,0,4,0,0,0,30,66,4.36,1.737,14.2,1.4,1.4,5.7,4
21,2009,,Bobby Korecky,29,0,0,0,13.5,5,0,0,0,0,0,6,11,9,9,0,4,0,3,0,0,3,32,35,4.1,2.5,16.5,0,6,4.5,0.75
22,2009,,Brandon Webb,30,0,0,0,13.5,1,1,0,0,0,0,4,6,6,6,2,2,0,2,1,0,0,20,36,10.85,2,13.5,4.5,4.5,4.5,1
23,2009,,Tom Gordon,41,0,1,0,21.6,3,0,1,0,0,0,1.2,3,4,4,0,3,0,0,0,0,2,10,25,8.5,3.6,16.2,0,16.2,0,0
24,2009,,Josh Wilson,28,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,6.1,1,0,0,9,0,0
1,2008,SP,Brandon Webb,29,22,7,0.759,3.3,34,34,0,3,1,0,226.2,206,95,83,13,65,5,183,12,1,8,944,140,3.28,1.196,8.2,0.5,2.6,7.3,2.82
2,2008,SP,Dan Haren,27,16,8,0.667,3.33,33,33,0,1,1,0,216,204,86,80,19,40,4,206,6,0,11,881,138,3.01,1.13,8.5,0.8,1.7,8.6,5.15
3,2008,SP,Randy Johnson,44,11,10,0.524,3.91,30,30,0,2,0,0,184,184,92,80,24,44,6,173,6,1,2,778,118,3.76,1.239,9,1.2,2.2,8.5,3.93
4,2008,SP,Doug Davis,32,6,8,0.429,4.32,26,26,0,0,0,0,146,160,76,70,13,64,4,112,4,0,7,650,107,4.15,1.534,9.9,0.8,3.9,6.9,1.75
5,2008,SP,Micah Owings,25,6,9,0.4,5.93,22,18,2,0,0,0,104.2,104,73,69,14,41,0,87,12,0,4,466,78,4.73,1.385,8.9,1.2,3.5,7.5,2.12
6,2008,CL,Brandon Lyon,28,3,5,0.375,4.7,61,0,50,0,0,26,59.1,75,34,31,7,13,1,44,0,0,1,265,98,3.84,1.483,11.4,1.1,2,6.7,3.38
7,2008,RP,Chad Qualls,29,4,8,0.333,2.81,77,0,21,0,0,9,73.2,61,29,23,4,18,2,71,3,0,6,300,164,2.77,1.072,7.5,0.5,2.2,8.7,3.94
8,2008,RP,Tony Pena,26,3,2,0.6,4.33,72,0,20,0,0,3,72.2,80,38,35,5,17,5,52,3,0,4,313,107,3.42,1.335,9.9,0.6,2.1,6.4,3.06
