Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls
20,2012,3B,Josh Bell,25,21,56,52,3,9,2,0,1,4,0,0,4,14,0.173,0.232,0.269,0.501,34,14,3,0,0,0,1
21,2012,C,Wil Nieves,34,16,38,36,4,11,1,0,1,3,0,1,1,8,0.306,0.324,0.417,0.741,98,15,0,0,1,0,1
22,2012,3B,Geoff Blum,39,17,31,28,1,4,0,0,0,1,0,0,2,7,0.143,0.194,0.143,0.336,-7,4,0,0,0,1,0
23,2012,1B,Mike Jacobs,31,13,23,19,4,4,1,0,0,2,0,0,4,6,0.211,0.348,0.263,0.611,68,5,0,0,0,0,1
24,2012,C,Konrad Schmidt,27,4,8,7,1,0,0,0,0,2,0,0,1,2,0,0.125,0,0.125,-62,0,0,0,0,0,0
25,2012,OF,Tyler Graham,28,10,2,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,-100,0,0,0,0,0,0
26,2012,P,Wade Miley,25,30,75,65,4,11,2,0,0,2,0,0,2,20,0.169,0.194,0.2,0.394,6,13,1,0,8,0,0
27,2012,P,Ian Kennedy,27,30,73,51,4,4,0,1,0,6,0,0,11,29,0.078,0.238,0.118,0.356,0,6,1,0,10,1,0
28,2012,P,Trevor Cahill,24,31,73,67,2,8,0,0,0,4,0,0,1,24,0.119,0.132,0.119,0.252,-31,8,1,0,5,0,0
29,2012,P,Joe Saunders,31,19,46,35,1,3,0,0,0,1,0,0,3,7,0.086,0.154,0.086,0.24,-33,3,0,0,7,1,0
30,2012,P,Patrick Corbin,22,22,43,36,3,4,0,1,0,4,0,0,1,17,0.111,0.135,0.167,0.302,-19,6,0,0,6,0,0
31,2012,P,Josh Collmenter,26,27,23,16,1,1,0,0,0,2,0,0,1,5,0.063,0.118,0.063,0.18,-49,1,0,0,6,0,0
32,2012,P,Daniel Hudson,25,8,16,13,1,2,0,0,0,1,0,0,2,6,0.154,0.25,0.154,0.404,12,2,0,0,0,1,0
33,2012,P,Tyler Skaggs,20,6,9,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,2,0,0
34,2012,P,Trevor Bauer,21,4,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
35,2012,P,Brad Ziegler,32,73,4,4,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,35,1,0,0,0,0,0
36,2012,P,Craig Breslow,31,38,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
37,2012,P,Brad Bergesen,26,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0
38,2012,P,David Hernandez,27,69,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,442,1,0,0,0,0,0
39,2012,P,Takashi Saito,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2012,P,Sam Demel,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2012,P,Joe Martinez,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2012,P,Matt Lindstrom,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2012,P,Jonathan Albaladejo,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2012,P,Mike Zagurski,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2012,P,Matt Albers,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2012,P,Bryan Shaw,24,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2012,P,J.J. Putz,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2012,P,Joe Paterson,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011,C,Miguel Montero,27,140,553,493,65,139,36,1,18,86,1,1,47,97,0.282,0.351,0.469,0.82,121,231,14,8,1,4,10
2,2011,1B,Juan Miranda,28,65,202,174,18,37,8,2,7,23,0,1,23,48,0.213,0.315,0.402,0.717,94,70,1,3,2,0,1
3,2011,2B,Kelly Johnson,29,114,481,430,59,90,23,5,18,49,13,3,44,132,0.209,0.287,0.412,0.699,88,177,3,3,4,0,2
4,2011,SS,Stephen Drew,28,86,354,321,44,81,21,5,5,45,4,4,30,74,0.252,0.317,0.396,0.713,93,127,3,1,1,1,0
5,2011,3B,Ryan Roberts,30,143,555,482,86,120,25,2,19,65,18,9,66,98,0.249,0.341,0.427,0.768,108,206,6,2,3,2,2
6,2011,LF,Gerardo Parra,24,141,493,445,55,130,20,8,8,46,15,1,43,82,0.292,0.357,0.427,0.784,113,190,8,3,0,2,16
7,2011,CF,Chris Young,27,156,659,567,89,134,38,3,20,71,22,9,80,139,0.236,0.331,0.42,0.751,103,238,3,4,1,7,4
8,2011,RF,Justin Upton,23,159,674,592,105,171,39,5,31,88,21,9,59,126,0.289,0.369,0.529,0.898,141,313,8,19,0,4,9
9,2011,UT,Willie Bloomquist,33,97,381,350,44,93,10,2,4,26,20,10,23,51,0.266,0.317,0.34,0.657,79,119,3,4,2,2,3
10,2011,1B,Xavier Nady,32,82,223,206,26,51,11,0,4,35,2,0,10,46,0.248,0.287,0.359,0.646,75,74,4,3,0,4,1
11,2011,1B,Paul Goldschmidt,23,48,177,156,28,39,9,1,8,26,4,0,20,53,0.25,0.333,0.474,0.808,117,74,4,0,0,1,0
12,2011,2B,Aaron Hill,29,33,142,124,23,39,12,2,2,16,5,4,12,19,0.315,0.386,0.492,0.878,137,61,2,3,2,1,0
13,2011,3B,Melvin Mora,39,42,135,127,5,29,6,0,0,16,0,1,2,24,0.228,0.244,0.276,0.52,41,35,5,2,0,4,1
14,2011,3B,Sean Burroughs,30,78,115,110,8,30,4,0,1,8,1,0,3,15,0.273,0.289,0.336,0.626,70,37,4,0,1,1,0
15,2011,C,Henry Blanco,39,37,112,100,12,25,3,1,8,12,0,1,12,21,0.25,0.33,0.54,0.87,132,54,2,0,0,0,1
16,2011,OF,Collin Cowgill,25,36,100,92,8,22,3,0,1,9,4,2,8,28,0.239,0.3,0.304,0.604,65,28,0,0,0,0,1
17,2011,1B,Russell Branyan,35,31,69,62,4,13,5,0,1,2,0,0,7,20,0.21,0.29,0.339,0.629,71,21,0,0,0,0,0
18,2011,SS,John McDonald,36,19,63,59,2,10,2,0,0,2,0,0,4,9,0.169,0.222,0.203,0.426,17,12,0,0,0,0,0
19,2011,3B,Geoff Blum,38,23,55,49,8,11,3,0,2,10,0,0,5,9,0.224,0.309,0.408,0.717,93,20,2,1,0,0,1
20,2011,1B,Lyle Overbay,34,18,49,42,3,12,4,0,1,10,1,0,6,11,0.286,0.388,0.452,0.84,128,19,1,1,0,0,1
21,2011,DH,Wily Mo Peña,29,17,46,46,7,9,0,0,5,7,0,0,0,19,0.196,0.196,0.522,0.717,87,24,1,0,0,0,0
22,2011,IF,Cody Ransom,35,12,37,33,3,5,2,0,1,4,1,0,3,9,0.152,0.243,0.303,0.546,48,10,3,1,0,0,0
23,2011,1B,Brandon Allen,25,11,37,29,5,5,0,0,3,7,1,0,7,13,0.172,0.351,0.483,0.834,125,14,0,1,0,0,2
24,2011,SS,Josh Wilson,30,6,10,10,3,2,1,0,0,1,0,0,0,1,0.2,0.2,0.3,0.5,34,3,0,0,0,0,0
25,2011,OF,Cole Gillespie,27,5,7,6,2,2,0,0,1,4,0,0,1,1,0.333,0.429,0.833,1.262,234,5,0,0,0,0,0
26,2011,LF,Robby Hammock,34,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
27,2011,P,Daniel Hudson,24,32,79,65,5,18,3,0,1,14,0,0,3,21,0.277,0.309,0.369,0.678,84,24,2,0,11,0,0
28,2011,P,Ian Kennedy,26,32,75,61,3,8,3,0,0,4,0,0,4,24,0.131,0.197,0.18,0.377,4,11,0,1,9,0,0
29,2011,P,Joe Saunders,30,30,67,61,2,12,1,0,0,4,0,0,2,15,0.197,0.222,0.213,0.435,19,13,1,0,4,0,0
30,2011,P,Josh Collmenter,25,29,47,40,2,6,0,0,0,1,0,0,2,16,0.15,0.209,0.15,0.359,0,6,0,1,4,0,0
31,2011,P,Zach Duke,28,20,23,20,3,6,0,0,2,6,0,0,1,7,0.3,0.333,0.6,0.933,148,12,0,0,2,0,0
32,2011,P,Micah Owings,28,31,19,19,2,4,0,0,0,1,0,0,0,8,0.211,0.211,0.211,0.421,15,4,0,0,0,0,0
33,2011,P,Armando Galarraga,29,8,16,15,0,0,0,0,0,1,0,0,0,7,0,0,0,0,-100,0,0,0,1,0,0
34,2011,P,Wade Miley,24,8,16,13,1,1,0,0,0,1,0,0,2,2,0.077,0.2,0.077,0.277,-21,1,0,0,1,0,0
35,2011,P,Barry Enright,25,8,15,12,1,2,0,0,1,2,0,0,2,2,0.167,0.286,0.417,0.702,88,5,2,0,1,0,0
36,2011,P,Jason Marquis,32,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
37,2011,P,Jarrod Parker,22,1,2,2,0,1,1,0,0,0,0,0,0,1,0.5,0.5,1,1.5,296,2,0,0,0,0,0
38,2011,P,Aaron Heilman,32,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
39,2011,P,Kam Mickolio,27,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
40,2011,P,Alberto Castillo,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2011,P,Sam Demel,25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2011,P,David Hernandez,26,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2011,P,Yhency Brazobán,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2011,P,Zach Kroenke,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2011,P,Bryan Shaw,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2011,P,J.J. Putz,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2011,P,J.C. Gutiérrez,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2011,P,Joe Paterson,25,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2011,P,Brad Ziegler,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2011,P,Esmerling Vasquez,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2011,P,Ryan Cook,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2010,C,Miguel Montero,26,85,331,297,36,79,20,2,9,43,0,1,29,71,0.266,0.332,0.438,0.77,102,130,10,2,0,3,3
2,2010,1B,Adam LaRoche,30,151,615,560,75,146,37,2,25,100,0,1,48,172,0.261,0.32,0.468,0.788,106,262,8,3,0,4,4
3,2010,2B,Kelly Johnson,28,154,671,585,93,166,36,5,26,71,13,7,79,148,0.284,0.37,0.496,0.865,127,290,12,2,3,2,1
4,2010,SS,Stephen Drew,27,151,633,565,83,157,33,12,15,61,10,5,62,108,0.278,0.352,0.458,0.81,113,259,7,3,2,1,2
5,2010,3B,Mark Reynolds,26,145,596,499,79,99,17,2,32,85,7,4,83,211,0.198,0.32,0.433,0.753,97,216,8,9,0,5,7
6,2010,LF,Gerardo Parra,23,133,393,364,31,95,19,6,3,30,1,0,23,76,0.261,0.308,0.371,0.679,79,135,8,2,3,1,10
7,2010,CF,Chris Young,26,156,664,584,94,150,33,0,27,91,28,7,74,145,0.257,0.341,0.452,0.793,108,264,10,2,1,3,0
8,2010,RF,Justin Upton,22,133,571,495,73,135,27,3,17,69,18,8,64,152,0.273,0.356,0.442,0.799,110,219,20,4,1,7,5
9,2010,C,Chris Snyder,29,65,234,195,22,45,8,0,10,32,0,0,36,61,0.231,0.352,0.426,0.778,105,83,5,1,1,1,6
10,2010,UT,Rusty Ryal,27,104,222,207,19,54,7,1,3,11,0,3,8,67,0.261,0.308,0.348,0.656,73,72,3,6,1,0,0
11,2010,IF,Tony Abreu,25,81,201,193,16,45,11,1,1,13,2,1,4,47,0.233,0.244,0.316,0.56,47,61,8,0,0,4,0
12,2010,LF,Conor Jackson,28,42,172,151,19,36,11,0,1,11,4,1,20,18,0.238,0.326,0.331,0.657,75,50,3,0,0,1,2
13,2010,OF,Cole Gillespie,26,45,113,104,11,24,8,0,2,12,1,1,7,29,0.231,0.283,0.365,0.649,70,38,2,1,0,1,1
14,2010,C,John Hester,26,38,106,95,9,20,7,0,2,7,1,0,11,32,0.211,0.292,0.347,0.64,69,33,2,0,0,0,1
15,2010,IF,Augie Ojeda,35,59,92,79,6,15,3,0,0,5,0,1,8,8,0.19,0.258,0.228,0.486,30,18,3,0,3,2,0
16,2010,UT,Ryan Roberts,29,36,71,66,8,13,4,0,2,9,0,0,3,17,0.197,0.229,0.348,0.577,50,23,0,0,1,1,1
17,2010,UT,Brandon Allen,24,22,56,45,5,12,3,0,1,6,0,0,10,20,0.267,0.393,0.4,0.793,111,18,0,0,0,1,1
18,2010,OF,Ryan Church,31,37,55,49,9,13,5,0,2,7,0,0,4,19,0.265,0.345,0.49,0.835,118,24,0,2,0,0,1
19,2010,IF,Bobby Crosby,30,9,14,12,0,2,2,0,0,2,0,1,1,5,0.167,0.214,0.333,0.548,42,4,1,0,0,1,0
20,2010,C,Konrad Schmidt,25,4,9,8,0,1,0,0,0,0,0,0,1,0,0.125,0.222,0.125,0.347,-5,1,0,0,0,0,0
21,2010,P,Rodrigo Lopez,34,31,72,64,2,5,0,0,0,1,0,0,1,35,0.078,0.104,0.078,0.183,-51,5,2,1,5,1,0
22,2010,P,Ian Kennedy,25,30,67,54,7,11,1,0,0,2,0,0,7,24,0.204,0.29,0.222,0.513,38,12,0,0,5,1,0
23,2010,P,Dan Haren,29,22,57,55,8,20,6,0,1,7,0,0,1,9,0.364,0.375,0.527,0.902,136,29,0,0,1,0,0
24,2010,P,Edwin Jackson,26,20,43,38,5,6,0,0,1,3,0,0,2,22,0.158,0.2,0.237,0.437,15,9,0,0,3,0,0
25,2010,P,Barry Enright,24,18,37,33,1,8,1,0,0,6,0,0,0,9,0.242,0.235,0.273,0.508,34,9,0,0,3,1,0
26,2010,P,Daniel Hudson,23,11,31,27,1,4,2,0,0,6,0,0,0,7,0.148,0.179,0.222,0.401,5,6,1,1,3,0,0
27,2010,P,Joe Saunders,29,13,27,23,0,2,0,0,0,1,1,0,1,8,0.087,0.125,0.087,0.212,-42,2,0,0,3,0,0
28,2010,P,Kris Benson,35,3,6,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,6,1,0,0,1,0,0
29,2010,P,Dontrelle Willis,28,5,6,4,1,1,0,0,0,0,0,0,1,1,0.25,0.4,0.25,0.65,77,1,0,0,1,0,0
30,2010,P,Billy Buckner,26,3,5,4,0,1,0,0,0,0,0,0,1,0,0.25,0.4,0.25,0.65,77,1,0,0,0,0,0
31,2010,P,César Valdez,25,9,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
32,2010,P,Leo Rosales,29,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
33,2010,P,Zach Kroenke,26,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
34,2010,P,Blaine Boyer,28,51,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
35,2010,P,Esmerling Vasquez,26,55,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
36,2010,P,Aaron Heilman,31,67,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
37,2010,P,Bob Howry,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2010,P,Saul Rivera,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2010,P,Daniel Stange,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2010,P,Carlos Rosa,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2010,P,Jordan Norberto,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2010,P,Mike Hampton,37,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2010,P,Sam Demel,24,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2010,P,Kevin Mulvey,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2010,P,Chad Qualls,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2010,P,D.J. Carrasco,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2010,P,Rafael Rodriguez,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2010,P,J.C. Gutiérrez,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2009,C,Miguel Montero,25,128,470,425,61,125,30,0,16,59,1,2,38,78,0.294,0.355,0.478,0.832,113,203,6,3,2,2,5
2,2009,1B,Chad Tracy,29,98,288,257,29,61,15,0,8,39,1,0,26,38,0.237,0.306,0.389,0.695,79,100,3,1,0,4,7
3,2009,2B,Felipe Lopez,29,85,383,345,44,104,18,1,6,25,6,3,34,59,0.301,0.364,0.412,0.775,101,142,2,1,1,2,3
4,2009,SS,Stephen Drew,26,135,595,533,71,139,29,12,12,65,5,1,49,87,0.261,0.32,0.428,0.748,92,228,4,1,5,7,7
5,2009,3B,Mark Reynolds,25,155,662,578,98,150,30,1,44,102,24,9,76,223,0.26,0.349,0.543,0.892,127,314,8,5,0,3,3
6,2009,LF,Gerardo Parra,22,120,491,455,59,132,21,8,5,60,5,7,25,89,0.29,0.324,0.404,0.729,88,184,18,1,4,6,1
7,2009,CF,Chris Young,25,134,501,433,54,92,28,4,15,42,11,4,59,133,0.212,0.311,0.4,0.711,83,173,3,4,3,2,2
8,2009,RF,Justin Upton,21,138,588,526,84,158,30,7,26,86,20,5,55,137,0.3,0.366,0.532,0.899,129,280,10,2,1,4,3
9,2009,2B,Ryan Roberts,28,110,351,305,41,85,17,2,7,25,7,3,40,55,0.279,0.367,0.416,0.783,103,127,2,3,2,1,1
10,2009,IF,Augie Ojeda,34,103,310,264,38,65,17,3,1,16,3,1,32,28,0.246,0.34,0.345,0.685,78,91,4,6,6,1,3
11,2009,LF,Eric Byrnes,33,84,258,239,26,54,14,1,8,31,9,3,12,30,0.226,0.27,0.393,0.663,69,94,4,3,2,2,0
12,2009,C,Chris Snyder,28,61,202,165,20,33,7,0,6,22,0,0,32,47,0.2,0.333,0.352,0.685,78,58,5,2,1,2,4
13,2009,OF,Alex Romero,25,66,157,145,14,36,6,2,1,18,2,0,11,23,0.248,0.306,0.338,0.644,67,49,7,1,0,0,1
14,2009,1B,Josh Whitesell,27,46,133,108,7,21,7,0,1,14,0,0,24,29,0.194,0.346,0.287,0.633,67,31,2,1,0,0,4
15,2009,1B,Brandon Allen,23,32,116,104,13,21,7,0,4,14,0,0,12,40,0.202,0.284,0.385,0.669,72,40,4,0,0,0,2
16,2009,LF,Conor Jackson,27,30,110,99,8,18,4,0,1,14,5,0,11,16,0.182,0.264,0.253,0.516,35,25,1,0,0,0,0
17,2009,1B,Tony Clark,37,36,78,66,7,12,4,0,4,11,0,0,11,24,0.182,0.295,0.424,0.719,84,28,3,0,0,1,0
18,2009,OF,Trent Oeltjen,26,24,73,70,11,17,4,1,3,4,3,1,1,13,0.243,0.25,0.457,0.707,78,32,0,0,1,1,0
19,2009,IF,Rusty Ryal,26,30,68,59,11,16,6,2,3,9,0,0,6,21,0.271,0.353,0.593,0.946,140,35,0,2,0,1,1
20,2009,SS,Josh Wilson,28,11,30,26,1,6,1,0,0,2,0,0,3,3,0.231,0.333,0.269,0.603,59,7,2,1,0,0,0
21,2009,C,John Hester,25,15,30,28,4,7,2,0,1,4,0,0,2,7,0.25,0.3,0.429,0.729,86,12,0,0,0,0,0
22,2009,C,Luke Carlin,28,10,21,18,3,3,0,0,0,1,0,0,3,3,0.167,0.286,0.167,0.452,21,3,0,0,0,0,0
23,2009,P,Dan Haren,28,35,87,73,6,18,5,0,1,10,0,0,3,22,0.247,0.269,0.356,0.625,61,26,2,0,9,2,0
24,2009,P,Doug Davis,33,32,69,63,2,10,1,1,0,3,0,0,0,21,0.159,0.159,0.206,0.365,-6,13,1,0,6,0,0
25,2009,P,Jon Garland,29,26,62,58,3,6,0,0,0,1,0,0,1,26,0.103,0.119,0.103,0.222,-42,6,0,0,3,0,0
26,2009,P,Max Scherzer,24,30,61,53,4,12,2,0,0,3,0,0,3,17,0.226,0.268,0.264,0.532,39,14,1,0,5,0,0
27,2009,P,Yusmeiro Petit,24,23,28,27,0,1,0,0,0,0,0,0,1,8,0.037,0.071,0.037,0.108,-71,1,0,0,0,0,0
28,2009,P,Billy Buckner,25,14,23,21,0,5,2,0,0,6,0,0,0,8,0.238,0.238,0.333,0.571,46,7,1,0,2,0,0
29,2009,P,Kevin Mulvey,24,6,7,7,0,1,0,0,0,0,0,1,0,3,0.143,0.143,0.143,0.286,-26,1,0,0,0,0,0
30,2009,P,Bryan Augenstein,22,7,4,3,1,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,-28,0,0,0,0,0,0
31,2009,P,Leo Rosales,28,33,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
32,2009,P,Blaine Boyer,27,29,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
33,2009,P,Chad Qualls,30,48,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
34,2009,P,Brandon Webb,30,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
35,2009,P,Daniel Cabrera,28,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
36,2009,P,Clay Zavada,25,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2009,P,Tony Pena,27,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
38,2009,P,Scott Schoeneweis,35,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2009,P,Doug Slaten,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2009,P,Jon Rauch,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2009,P,J.C. Gutiérrez,25,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2009,P,Esmerling Vasquez,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2009,P,Daniel Schlereth,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2009,P,Tom Gordon,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2009,P,Bobby Korecky,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2008,C,Chris Snyder,27,115,404,334,47,79,22,1,16,64,0,0,56,101,0.237,0.348,0.452,0.8,103,151,7,4,5,5,5
2,2008,1B,Chad Tracy,28,88,292,273,25,73,16,0,8,39,0,0,16,49,0.267,0.308,0.414,0.722,83,113,5,1,0,2,2
3,2008,2B,Orlando Hudson,30,107,455,407,54,124,29,3,8,41,4,1,40,62,0.305,0.367,0.45,0.817,108,183,18,2,3,3,2
4,2008,SS,Stephen Drew,25,152,663,611,91,178,44,11,21,67,3,3,41,109,0.291,0.333,0.502,0.836,110,307,5,1,3,7,6
5,2008,3B,Mark Reynolds,24,152,613,539,87,129,28,3,28,97,11,2,64,204,0.239,0.32,0.458,0.779,96,247,10,3,1,6,0
6,2008,LF,Conor Jackson,26,144,612,540,87,162,31,6,12,75,10,2,59,61,0.3,0.376,0.446,0.823,110,241,14,9,1,3,3
7,2008,CF,Chris Young,24,160,699,625,85,155,42,7,22,85,14,5,62,165,0.248,0.315,0.443,0.758,91,277,10,1,6,5,2
8,2008,RF,Justin Upton,20,108,417,356,52,89,19,6,15,42,1,4,54,121,0.25,0.353,0.463,0.816,107,165,3,4,0,3,6
9,2008,2B,Augie Ojeda,33,105,272,231,27,56,9,2,0,17,0,0,26,24,0.242,0.343,0.299,0.642,67,69,6,10,4,1,2
10,2008,LF,Eric Byrnes,32,52,224,206,28,43,13,1,6,23,4,4,16,36,0.209,0.272,0.369,0.641,62,76,5,2,0,0,0
11,2008,C,Miguel Montero,24,70,207,184,24,47,16,1,5,18,0,0,19,49,0.255,0.33,0.435,0.765,94,80,1,2,1,1,3
12,2008,UT,Chris Burke,28,86,199,165,20,32,5,1,2,12,5,0,27,33,0.194,0.31,0.273,0.582,51,45,2,2,2,3,8
13,2008,UT,Adam Dunn,28,44,187,144,21,35,9,0,8,26,1,0,42,44,0.243,0.417,0.472,0.889,127,68,3,1,0,0,7
14,2008,OF,Jeff Salazar,27,90,152,128,17,27,5,3,2,12,0,2,21,41,0.211,0.331,0.344,0.675,73,44,2,2,1,0,1
15,2008,RF,Alex Romero,24,78,142,135,13,31,8,2,1,12,4,0,3,20,0.23,0.25,0.341,0.591,49,46,3,1,2,1,0
16,2008,1B,Tony Clark,36,38,77,63,7,13,2,0,2,13,0,0,12,23,0.206,0.338,0.333,0.671,73,21,6,1,0,1,1
17,2008,2B,David Eckstein,33,18,73,64,5,14,3,0,1,4,0,0,7,5,0.219,0.301,0.313,0.614,58,20,1,1,0,1,0
18,2008,C,Robby Hammock,31,18,48,42,4,8,1,0,0,2,0,0,5,9,0.19,0.292,0.214,0.506,33,9,0,1,0,0,1
19,2008,1B,Jamie D'Antona,26,18,19,17,2,3,0,0,0,1,0,0,2,4,0.176,0.263,0.176,0.44,16,3,0,0,0,0,0
20,2008,OF,Emilio Bonifácio,23,8,12,12,3,2,1,0,0,2,1,0,0,5,0.167,0.167,0.25,0.417,5,3,0,0,0,0,0
